,Slack,SD,File,Machines,Accepted Load,Rejected Load,Available Resource
0,0.1,0.04,S1,10,1031386,8992337,1744530
1,0.1,0.04,S2,10,1105968,8917755,1691510
2,0.1,0.04,S3,10,1107478,8916245,1702890
3,0.1,0.04,S4,10,1010623,9013100,1712660
4,0.1,0.04,S5,10,901657,9122066,1722370
5,0.1,0.04,S6,10,1005008,9018715,1670400
6,0.1,0.04,S7,10,1008295,9015428,1673360
7,0.1,0.04,S8,10,812100,9211623,1465860
8,0.1,0.04,S9,10,757596,9266127,1679650
9,0.1,0.04,S10,10,920172,9103551,1315880
10,0.1,0.04,S1,50,2666570,7357153,6203300
11,0.1,0.04,S2,50,2534652,7489071,5755500
12,0.1,0.04,S3,50,2589761,7433962,6697150
13,0.1,0.04,S4,50,3305816,6717907,7713400
14,0.1,0.04,S5,50,2478320,7545403,8716400
15,0.1,0.04,S6,50,2834324,7189399,8419450
16,0.1,0.04,S7,50,3291156,6732567,8401600
17,0.1,0.04,S8,50,2939688,7084035,6775200
18,0.1,0.04,S9,50,3124396,6899327,8390050
19,0.1,0.04,S10,50,2658452,7365271,6229900
20,0.1,0.04,S1,90,4108285,5915438,10023723
21,0.1,0.04,S2,90,4194532,5829191,10023723
22,0.1,0.04,S3,90,3610247,6413476,10023723
23,0.1,0.04,S4,90,5397864,4625859,10023723
24,0.1,0.04,S5,90,4262808,5760915,10023723
25,0.1,0.04,S6,90,4453499,5570224,10023723
26,0.1,0.04,S7,90,4429125,5594598,10023723
27,0.1,0.04,S8,90,4870171,5153552,10023723
28,0.1,0.04,S9,90,4177831,5845892,10023723
29,0.1,0.04,S10,90,4452014,5571709,10023723
30,0.1,0.04,S1,130,6951556,3072167,10023723
31,0.1,0.04,S2,130,5959182,4064541,10023723
32,0.1,0.04,S3,130,7084162,2939561,10023723
33,0.1,0.04,S4,130,5865496,4158227,10023723
34,0.1,0.04,S5,130,6994446,3029277,10023723
35,0.1,0.04,S6,130,5414339,4609384,10023723
36,0.1,0.04,S7,130,5856084,4167639,10023723
37,0.1,0.04,S8,130,5604257,4419466,10023723
38,0.1,0.04,S9,130,6427307,3596416,10023723
39,0.1,0.04,S10,130,6342817,3680906,10023723
40,0.1,0.04,S1,170,7742865,2280858,10023723
41,0.1,0.04,S2,170,6253831,3769892,10023723
42,0.1,0.04,S3,170,7224926,2798797,10023723
43,0.1,0.04,S4,170,6060953,3962770,10023723
44,0.1,0.04,S5,170,5909714,4114009,10023723
45,0.1,0.04,S6,170,7644450,2379273,10023723
46,0.1,0.04,S7,170,6136161,3887562,10023723
47,0.1,0.04,S8,170,7736686,2287037,10023723
48,0.1,0.04,S9,170,7337493,2686230,10023723
49,0.1,0.04,S10,170,5892802,4130921,10023723
50,0.1,0.05,S1,10,1001632,9022091,1671740
51,0.1,0.05,S2,10,824270,9199453,1463990
52,0.1,0.05,S3,10,974935,9048788,1708700
53,0.1,0.05,S4,10,912716,9111007,1467810
54,0.1,0.05,S5,10,851595,9172128,1536950
55,0.1,0.05,S6,10,1041902,8981821,1667830
56,0.1,0.05,S7,10,1052215,8971508,1757980
57,0.1,0.05,S8,10,971229,9052494,1703650
58,0.1,0.05,S9,10,927684,9096039,1683170
59,0.1,0.05,S10,10,955749,9067974,1735810
60,0.1,0.05,S1,50,3635711,6388012,8471750
61,0.1,0.05,S2,50,3233638,6790085,8475550
62,0.1,0.05,S3,50,3015812,7007911,6759800
63,0.1,0.05,S4,50,2720107,7303616,8544250
