,Slack,SD,Machines,Accepted Load,Rejected Load,Available Resource
99,0.2,0.087,170,8790541.6,7680658.4,16471200
100,0.2,0.091,10,1095560.4,15375639.6,1538762
101,0.2,0.091,50,3223400.2,13247799.8,7357740
102,0.2,0.091,90,5686190.2,10785009.8,13634280
103,0.2,0.091,130,7376138,9095062,16471200
104,0.2,0.091,170,8660834.8,7810365.2,16471200
105,0.2,0.095,10,1065198.9,15406001.1,1517251
106,0.2,0.095,50,3380297,13090903,7411405
107,0.2,0.095,90,5468863.4,11002336.6,13788468
108,0.2,0.095,130,7465030.6,9006169.4,16471200
109,0.2,0.095,170,8545263.8,7925936.2,16471200
110,0.3,0.1,10,1174003.8,15297196.2,1578799
111,0.3,0.1,50,3413649.8,13057550.2,7948350
112,0.3,0.1,90,5416552.4,11054647.6,14346612
113,0.3,0.1,130,7077029.6,9394170.4,16471200
114,0.3,0.1,170,8128594.9,8342605.1,16471200
115,0.3,0.12,10,1067395.9,15403804.1,1476434
116,0.3,0.12,50,3310749.5,13160450.5,7397820
117,0.3,0.12,90,5503424.4,10967775.6,13655961
118,0.3,0.12,130,7005053.1,9466146.9,16471200
119,0.3,0.12,170,8429707,8041493,16471200
120,0.3,0.13,10,1099947.6,15371252.4,1566852
121,0.3,0.13,50,3238198.5,13233001.5,7720425
122,0.3,0.13,90,5222885.4,11248314.6,14287689
123,0.3,0.13,130,6850925.2,9620274.8,16471200
124,0.3,0.13,170,7957755.7,8513444.3,16471200
125,0.3,0.15,10,1127056,15344144,1656938
126,0.3,0.15,50,3454736.8,13016463.2,7635085
127,0.3,0.15,90,5386719.4,11084480.6,14781348
128,0.3,0.15,130,7054084.4,9417115.6,16471200
129,0.3,0.15,170,8392559.2,8078640.8,16471200
130,0.3,0.103,10,1084818.8,15386381.2,1562086
131,0.3,0.103,50,3189964.7,13281235.3,7872195
132,0.3,0.103,90,5334210.4,11136989.6,14375997
133,0.3,0.103,130,6906449.3,9564750.7,16471200
134,0.3,0.103,170,8455009.6,8016190.4,16471200
135,0.3,0.107,10,1127226.4,15343973.6,1556385
136,0.3,0.107,50,3320275.4,13150924.6,7574195
137,0.3,0.107,90,5324457.1,11146742.9,13519548
138,0.3,0.107,130,6875585.9,9595614.1,16471200
139,0.3,0.107,170,8395722.9,8075477.1,16471200
140,0.3,0.111,10,1064607.2,15406592.8,1586172
141,0.3,0.111,50,3220834.6,13250365.4,7814860
142,0.3,0.111,90,5195708.9,11275491.1,14175441
143,0.3,0.111,130,7267464.2,9203735.8,16471200
144,0.3,0.111,170,8536965.6,7934234.4,16471200
145,0.3,0.115,10,1122166.2,15349033.8,1601033
146,0.3,0.115,50,3019567.2,13451632.8,7027535
147,0.3,0.115,90,5339644.1,11131555.9,13730841
148,0.3,0.115,130,7351852.6,9119347.4,16471200
149,0.3,0.115,170,8592201.2,7878998.8,16471200
150,0.3,0.125,10,1162685.4,15308514.6,1619986
151,0.3,0.125,50,3115714.5,13355485.5,7568450
152,0.3,0.125,90,5446627.7,11024572.3,14473935
153,0.3,0.125,130,7014763.8,9456436.2,16471200
154,0.3,0.125,170,8344023.7,8127176.3,16471200
155,0.3,0.136,10,1162842.3,15308357.7,1616983
156,0.3,0.136,50,3230066.2,13241133.8,7599430
157,0.3,0.136,90,5313894.3,11157305.7,13956546
158,0.3,0.136,130,7106717.8,9364482.2,16471200
159,0.3,0.136,170,8482362.8,7988837.2,16471200
160,0.3,0.143,10,1127873.3,15343326.7,1529045
161,0.3,0.143,50,3111264.6,13359935.4,7157340
162,0.3,0.143,90,5579396.8,10891803.2,14421555
163,0.3,0.143,130,6958406.9,9512793.1,16471200
164,0.3,0.143,170,8196370,8274830,16471200
165,0.4,0.2,10,1092690.6,15378509.4,1627203
166,0.4,0.2,50,3391350.1,13079849.9,7833500
167,0.4,0.2,90,5342138.8,11129061.2,14748429
168,0.4,0.2,130,6948437.7,9522762.3,16471200
169,0.4,0.2,170,7711551.8,8759648.2,16471200
170,0.4,0.16,10,1117725,15353475,1547484
171,0.4,0.16,50,3240257.8,13230942.2,7561195
172,0.4,0.16,90,5428231.9,11042968.1,15225813
173,0.4,0.16,130,6895840.6,9575359.4,16471200
174,0.4,0.16,170,8196952,8274248,16471200
175,0.4,0.19,10,1163477,15307723,1583263
176,0.4,0.19,50,3281324,13189876,8152210
177,0.4,0.19,90,5572813.6,10898386.4,15290442
178,0.4,0.19,130,6504518.8,9966681.2,16471200
179,0.4,0.19,170,7965346.4,8505853.6,16471200
180,0.4,0.133,10,1161521.4,15309678.6,1669185
181,0.4,0.133,50,3307622.7,13163577.3,7809020
182,0.4,0.133,90,5193896.7,11277303.3,15078072
183,0.4,0.133,130,6707904.3,9763295.7,16471200
184,0.4,0.133,170,7958258.2,8512941.8,16471200
185,0.4,0.138,10,1101732.3,15369467.7,1605070
186,0.4,0.138,50,3342853.8,13128346.2,7830970
187,0.4,0.138,90,5131441.2,11339758.8,15007746
188,0.4,0.138,130,6816320.4,9654879.6,16471200
189,0.4,0.138,170,8063490.3,8407709.7,16471200
190,0.4,0.143,10,1127783.9,15343416.1,1693701
