,Slack,SD,File,Machines,Accepted Load,Rejected Load,Available Resource
103,0.1,0.033,S4,10,1048953,8485131,1450710
104,0.1,0.033,S5,10,1013855,8520229,1343880
105,0.1,0.033,S6,10,978043,8556041,1383470
106,0.1,0.033,S7,10,661585,8872499,1164510
107,0.1,0.033,S8,10,802242,8731842,1143760
108,0.1,0.033,S9,10,696153,8837931,1126760
109,0.1,0.033,S10,10,922091,8611993,1446120
110,0.1,0.033,S1,50,3600730,5933354,7462450
111,0.1,0.033,S2,50,2572786,6961298,5832200
112,0.1,0.033,S3,50,3177165,6356919,6767500
113,0.1,0.033,S4,50,2595734,6938350,5519750
114,0.1,0.033,S5,50,2694356,6839728,5843050
115,0.1,0.033,S6,50,2594277,6939807,5745450
116,0.1,0.033,S7,50,3387276,6146808,6791200
117,0.1,0.033,S8,50,3503461,6030623,7448700
118,0.1,0.033,S9,50,2978713,6555371,7437900
119,0.1,0.033,S10,50,3126876,6407208,7239450
120,0.1,0.033,S1,90,3761751,5772333,9534084
121,0.1,0.033,S2,90,4210839,5323245,9534084
122,0.1,0.033,S3,90,3986229,5547855,9534084
123,0.1,0.033,S4,90,5697126,3836958,9534084
124,0.1,0.033,S5,90,3766140,5767944,9534084
125,0.1,0.033,S6,90,4943286,4590798,9534084
126,0.1,0.033,S7,90,5826754,3707330,9534084
127,0.1,0.033,S8,90,4659945,4874139,9534084
128,0.1,0.033,S9,90,3794726,5739358,9534084
129,0.1,0.033,S10,90,5726628,3807456,9534084
130,0.1,0.033,S1,130,4215147,5318937,9534084
131,0.1,0.033,S2,130,6426008,3108076,9534084
132,0.1,0.033,S3,130,6673719,2860365,9534084
133,0.1,0.033,S4,130,6693049,2841035,9534084
134,0.1,0.033,S5,130,4540881,4993203,9534084
135,0.1,0.033,S6,130,5155005,4379079,9534084
136,0.1,0.033,S7,130,5088650,4445434,9534084
137,0.1,0.033,S8,130,6621939,2912145,9534084
138,0.1,0.033,S9,130,6730210,2803874,9534084
139,0.1,0.033,S10,130,6544039,2990045,9534084
140,0.1,0.033,S1,170,6939505,2594579,9534084
141,0.1,0.033,S2,170,6727321,2806763,9534084
142,0.1,0.033,S3,170,7098783,2435301,9534084
143,0.1,0.033,S4,170,5168360,4365724,9534084
144,0.1,0.033,S5,170,6692381,2841703,9534084
145,0.1,0.033,S6,170,6824328,2709756,9534084
146,0.1,0.033,S7,170,6999202,2534882,9534084
147,0.1,0.033,S8,170,6830483,2703601,9534084
148,0.1,0.033,S9,170,6659501,2874583,9534084
149,0.1,0.033,S10,170,3749153,5784931,9534084
150,0.1,0.034,S1,10,918203,8615881,1519920
151,0.1,0.034,S2,10,1053488,8480596,1232810
152,0.1,0.034,S3,10,825305,8708779,1160270
153,0.1,0.034,S4,10,905483,8628601,1364280
154,0.1,0.034,S5,10,905580,8628504,1487490
155,0.1,0.034,S6,10,947356,8586728,1547970
156,0.1,0.034,S7,10,1055016,8479068,1456710
157,0.1,0.034,S8,10,873942,8660142,1481810
158,0.1,0.034,S9,10,905089,8628995,1502500
159,0.1,0.034,S10,10,664771,8869313,1126640
160,0.1,0.034,S1,50,2586075,6948009,5826900
161,0.1,0.034,S2,50,3259525,6274559,7659100
162,0.1,0.034,S3,50,3394266,6139818,7449800
163,0.1,0.034,S4,50,2722663,6811421,5634350
164,0.1,0.034,S5,50,2494196,7039888,5824650
165,0.1,0.034,S6,50,2816182,6717902,7173500
166,0.1,0.034,S7,50,3056053,6478031,7290700
167,0.1,0.034,S8,50,3645553,5888531,7457750
168,0.1,0.034,S9,50,2925062,6609022,7462500
169,0.1,0.034,S10,50,3106275,6427809,7475200
170,0.1,0.034,S1,90,3770282,5763802,9534084
171,0.1,0.034,S2,90,3756961,5777123,9534084
