,Slack,SD,Machines,Accepted Load,Rejected Load,Available Resource
0,0.1,0.04,10,1091963.2,16649186.8,1629203
1,0.1,0.04,20,1708515.3,16032634.7,3262514
2,0.1,0.04,30,2203606.7,15537543.3,4616880
3,0.1,0.04,40,2623512.9,15117637.1,6027680
4,0.1,0.04,50,3264543.8,14476606.2,7237755
5,0.1,0.04,60,4029834,13711316,9061536
6,0.1,0.04,70,4334573.1,13406576.9,10944668
7,0.1,0.04,80,4932869.6,12808280.4,12533488
8,0.1,0.04,90,5890311.2,11850838.8,14555709
9,0.1,0.04,100,6424854.1,11316295.9,16388540
10,0.1,0.04,110,6913382.7,10827767.3,17075574
11,0.1,0.04,120,7407348.6,10333801.4,17741150
12,0.1,0.04,130,7893329.2,9847820.8,17741150
13,0.1,0.04,140,8486911.9,9254238.1,17741150
14,0.1,0.04,150,8894169.5,8846980.5,17741150
15,0.1,0.04,160,9496415.3,8244734.7,17741150
16,0.1,0.04,170,9858616.3,7882533.7,17741150
17,0.1,0.04,180,10102472.5,7638677.5,17741150
19,0.1,0.05,10,1125929.1,16615220.9,1607120
20,0.1,0.05,20,1870296.6,15870853.4,3263024
21,0.1,0.05,30,2262660.3,15478489.7,4677846
22,0.1,0.05,40,2768057.3,14973092.7,6150724
23,0.1,0.05,50,3309009.1,14432140.9,7952390
24,0.1,0.05,60,4036586.5,13704563.5,9364350
25,0.1,0.05,70,4248543,13492607,10758615
26,0.1,0.05,80,4789747.9,12951402.1,12381064
27,0.1,0.05,90,5734499.6,12006650.4,14753763
28,0.1,0.05,100,6153891.3,11587258.7,15985410
29,0.1,0.05,110,6855511.2,10885638.8,17327997
30,0.1,0.05,120,7467336.1,10273813.9,17580459
31,0.1,0.05,130,7957051.1,9784098.9,17741150
32,0.1,0.05,140,8563543.5,9177606.5,17741150
33,0.1,0.05,150,9064191.6,8676958.4,17741150
34,0.1,0.05,160,9573480.5,8167669.5,17741150
35,0.1,0.05,170,10040083.2,7701066.8,17741150
36,0.1,0.05,180,10217357.5,7523792.5,17741150
38,0.1,0.033,10,1076907.2,16664242.8,1519999
39,0.1,0.033,20,1664462,16076688,3132330
40,0.1,0.033,30,2162157.7,15578992.3,4539993
41,0.1,0.033,40,2810893,14930257,6318796
42,0.1,0.033,50,3357701.5,14383448.5,7653450
43,0.1,0.033,60,4104333,13636817,9565950
44,0.1,0.033,70,4469441.4,13271708.6,11286940
45,0.1,0.033,80,5087901,12653249,13157976
46,0.1,0.033,90,5820449.1,11920700.9,15224193
47,0.1,0.033,100,6465869.1,11275280.9,17162080
48,0.1,0.033,110,6948985,10792165,17228370
49,0.1,0.033,120,7595991.3,10145158.7,17581239
50,0.1,0.033,130,8055588.8,9685561.2,17741150
51,0.1,0.033,140,8539425.2,9201724.8,17741150
52,0.1,0.033,150,9036623.6,8704526.4,17741150
53,0.1,0.033,160,9645356.9,8095793.1,17741150
54,0.1,0.033,170,9959200.6,7781949.4,17741150
55,0.1,0.033,180,10281901.9,7459248.1,17741150
57,0.1,0.034,10,1143358.3,16597791.7,1617886
58,0.1,0.034,20,1758013.6,15983136.4,3171238
59,0.1,0.034,30,2100056.9,15641093.1,4592259
60,0.1,0.034,40,2622409.8,15118740.2,5960160
61,0.1,0.034,50,3304014.4,14437135.6,7777955
62,0.1,0.034,60,3799220.3,13941929.7,9130098
63,0.1,0.034,70,4599597.3,13141552.7,11643380
64,0.1,0.034,80,5157105.6,12584044.4,13058712
65,0.1,0.034,90,5629356.4,12111793.6,14466096
66,0.1,0.034,100,6386213,11354937,16417680
67,0.1,0.034,110,6998791.9,10742358.1,17593506
68,0.1,0.034,120,7407134.4,10334015.6,17654631
69,0.1,0.034,130,7945450.1,9795699.9,17741150
70,0.1,0.034,140,8602159.2,9138990.8,17741150
71,0.1,0.034,150,9106801.8,8634348.2,17741150
72,0.1,0.034,160,9456135.6,8285014.4,17741150
73,0.1,0.034,170,9936556.6,7804593.4,17741150
74,0.1,0.034,180,10125685.9,7615464.1,17741150
76,0.1,0.036,10,1075798.4,16665351.6,1615635
77,0.1,0.036,20,1553762.6,16187387.4,2845438
78,0.1,0.036,30,2288123.7,15453026.3,4585272
79,0.1,0.036,40,2732999.7,15008150.3,6165388
80,0.1,0.036,50,3262709.1,14478440.9,7522110
81,0.1,0.036,60,3685743.6,14055406.4,9118560
82,0.1,0.036,70,4425026,13316124,10696756
83,0.1,0.036,80,5205977.9,12535172.1,12787992
84,0.1,0.036,90,5774341.1,11966808.9,14725656
85,0.1,0.036,100,6321149.9,11420000.1,16181520
86,0.1,0.036,110,6966122.7,10775027.3,17451340
87,0.1,0.036,120,7512756.9,10228393.1,17740323
88,0.1,0.036,130,7914302,9826848,17705889
89,0.1,0.036,140,8415283.2,9325866.8,17741150
90,0.1,0.036,150,9068343,8672807,17741150
91,0.1,0.036,160,9549934.8,8191215.2,17741150
92,0.1,0.036,170,9944963.5,7796186.5,17741150
93,0.1,0.036,180,10284771.8,7456378.2,17741150
95,0.1,0.037,10,1097784.7,16643365.3,1529683
96,0.1,0.037,20,1722733.1,16018416.9,3169002
97,0.1,0.037,30,2251811.4,15489338.6,4754295
98,0.1,0.037,40,2648286.3,15092863.7,5719720
99,0.1,0.037,50,3388610.6,14352539.4,7731270
100,0.1,0.037,60,3999289,13741861,9345522
101,0.1,0.037,70,4598204.8,13142945.2,11480175
102,0.1,0.037,80,5213152.4,12527997.6,12824376
103,0.1,0.037,90,5746432.9,11994717.1,14320638
104,0.1,0.037,100,6448858,11292292,16789760
105,0.1,0.037,110,7084246,10656904,17627870
106,0.1,0.037,120,7583726.2,10157423.8,17741150
107,0.1,0.037,130,8084155.4,9656994.6,17741150
108,0.1,0.037,140,8601520,9139630,17741150
109,0.1,0.037,150,9139841.8,8601308.2,17741150
110,0.1,0.037,160,9632015.4,8109134.6,17741150
111,0.1,0.037,170,9974092.4,7767057.6,17741150
112,0.1,0.037,180,10311986.3,7429163.7,17741150
114,0.1,0.038,10,1043365.8,16697784.2,1519664
115,0.1,0.038,20,1609286.8,16131863.2,3006116
116,0.1,0.038,30,2252373.9,15488776.1,4499805
117,0.1,0.038,40,2789122.5,14952027.5,6386156
118,0.1,0.038,50,3379800,14361350,8050220
119,0.1,0.038,60,3999940,13741210,9576024
120,0.1,0.038,70,4465130.6,13276019.4,11470809
121,0.1,0.038,80,5114677.1,12626472.9,13078640
122,0.1,0.038,90,5912606.7,11828543.3,15104439
123,0.1,0.038,100,6336996.2,11404153.8,16297180
124,0.1,0.038,110,6917503.7,10823646.3,17521641
125,0.1,0.038,120,7573225.8,10167924.2,17733915
126,0.1,0.038,130,7963124.2,9778025.8,17741150
127,0.1,0.038,140,8534630,9206520,17741150
128,0.1,0.038,150,8985077.5,8756072.5,17741150
129,0.1,0.038,160,9597468.7,8143681.3,17741150
130,0.1,0.038,170,9780815.7,7960334.3,17741150
131,0.1,0.038,180,10254248.7,7486901.3,17741150
133,0.1,0.042,10,1092956.8,16648193.2,1598525
134,0.1,0.042,20,1700143,16041007,3250212
135,0.1,0.042,30,2114470.9,15626679.1,4481067
136,0.1,0.042,40,2655638.4,15085511.6,5974984
137,0.1,0.042,50,3233203.5,14507946.5,7293105
138,0.1,0.042,60,3881057.3,13860092.7,9843990
139,0.1,0.042,70,4280909.1,13460240.9,11076968
140,0.1,0.042,80,5114420.9,12626729.1,12945760
141,0.1,0.042,90,5632549.7,12108600.3,14361408
142,0.1,0.042,100,6452579.6,11288570.4,16202950
143,0.1,0.042,110,6999162.7,10741987.3,17334694
144,0.1,0.042,120,7439548.1,10301601.9,17740107
145,0.1,0.042,130,7942366.4,9798783.6,17741150
146,0.1,0.042,140,8559546,9181604,17741150
147,0.1,0.042,150,9149304.1,8591845.9,17741150
148,0.1,0.042,160,9563119.4,8178030.6,17741150
149,0.1,0.042,170,10004959.3,7736190.7,17741150
150,0.1,0.042,180,10303327.2,7437822.8,17741150
152,0.1,0.043,10,1141112.4,16600037.6,1640011
